,0101000,0101010,1010010,0100000,1010110
botwiki-verified,0.99,0.99,0.98,0.96,0.97
midterm-18,0.98,0.98,0.96,0.98,0.97
gilani-17,0.65,0.68,0.76,0.66,0.72
cresci-rtbust,0.76,0.68,0.64,0.76,0.64
5-fold_cross-validation,1.0,1.0,0.99,1.0,0.99
spearman_r,0.67,0.63,0.69,0.66,0.71
botwiki-verified_rank,17.0,10.0,36.0,65.0,50.0
midterm-18_rank,1.0,4.0,43.0,3.0,22.0
gilani-17_rank,72.0,30.0,1.0,63.0,8.0
cresci-rtbust_rank,7.0,47.0,78.0,9.0,73.0
5-fold_cross-validation_rank,13.0,26.0,87.0,33.0,88.0
spearman_r_rank,11.0,27.0,4.0,14.0,1.0
rank,1.0,2.0,3.0,4.0,5.0
